TARGET_CLASS,algorithm,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18,CoverageTimeline_T19,CoverageTimeline_T20
HSLColor,MONOTONICGA,0.9154929577,0.8450704225,0.8450704225,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9038015705,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577
HSLColor,MONOTONICGA,0.9154929577,0.5633802817,0.5633802817,0.9014084507,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577
HSLColor,MONOTONICGA,0.9014084507,0.8732394366,0.8732394366,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507
HSLColor,MONOTONICGA,0.9154929577,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9061032864,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577
HSLColor,MONOTONICGA,0.9154929577,0.8169014085,0.8169014085,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9152084223,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577
HSLColor,MONOTONICGA,0.9154929577,0.9014084507,0.9014084507,0.9014084507,0.9086802116,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577
HSLColor,MONOTONICGA,0.9154929577,0.8028169014,0.8028169014,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577
Average,,0.9126760563,,,,,,,,,,,,,,,,,,,,
ChunkedLongArray,MONOTONICGA,0.9677419355,0.3870967742,0.3870967742,0.7385620915,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355
ChunkedLongArray,MONOTONICGA,0.935483871,0.3548387097,0.3548387097,0.4516129032,0.6867553822,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9155067955,0.935483871,0.935483871,0.935483871,0.935483871,0.935483871,0.935483871,0.935483871,0.935483871,0.935483871
ChunkedLongArray,MONOTONICGA,0.9677419355,0.0967741935,0.0967741935,0.3113890718,0.935483871,0.935483871,0.935483871,0.935483871,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355
