TARGET_CLASS,algorithm,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18,CoverageTimeline_T19,CoverageTimeline_T20,CoverageTimeline_T21,CoverageTimeline_T22,CoverageTimeline_T23,CoverageTimeline_T24,CoverageTimeline_T25,CoverageTimeline_T26,CoverageTimeline_T27,CoverageTimeline_T28,CoverageTimeline_T29,CoverageTimeline_T30
StringReader,MONOTONICGA,1,0.5925925926,0.5925925926,0.5925925926,0.5925925926,0.8518518519,0.9783808386,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
StringReader,MONOTONICGA,1,0.1851851852,0.1851851852,0.1851851852,0.7407407407,0.8073727934,0.9438470729,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
StringReader,MONOTONICGA,1,0.5925925926,0.5925925926,0.5925925926,0.8518518519,0.8808405259,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
StringReader,MONOTONICGA,1,0.3703703704,0.3703703704,0.3703703704,0.8148148148,0.9793962864,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Average:,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSLColor,MONOTONICGA,0.9154929577,0.8028169014,0.8028169014,0.8028169014,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577
HSLColor,MONOTONICGA,0.9154929577,0.8169014085,0.8169014085,0.8169014085,0.9014084507,0.9014084507,0.9111758675,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577
HSLColor,MONOTONICGA,0.9154929577,0.2816901408,0.2816901408,0.2816901408,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9130062863,0.9154929577,0.9154929577,0.9154929577,0.9154929577
HSLColor,MONOTONICGA,0.9154929577,0.8309859155,0.8309859155,0.8309859155,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9154929577
HSLColor,MONOTONICGA,0.9154929577,0.8873239437,0.8873239437,0.892063922,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9014084507,0.9070702444,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577,0.9154929577
