TARGET_CLASS,algorithm,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18,CoverageTimeline_T19,CoverageTimeline_T20,CoverageTimeline_T21,CoverageTimeline_T22,CoverageTimeline_T23,CoverageTimeline_T24,CoverageTimeline_T25,CoverageTimeline_T26,CoverageTimeline_T27,CoverageTimeline_T28,CoverageTimeline_T29,CoverageTimeline_T30
HSLColor,NOVELTY,0.9014084507,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366
HSLColor,NOVELTY,0.9014084507,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366
HSLColor,NOVELTY,0.9014084507,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366
HSLColor,NOVELTY,0.9014084507,0.8591549296,0.8591549296,0.8591549296,0.8591549296,0.8591549296,0.8591549296,0.8591549296,0.8591549296,0.8591549296,0.8597390684,0.8603481809,0.8609572933,0.8615664057,0.8621755182,0.8627846306,0.8633937431,0.8640028555,0.864611968,0.8652210804,0.8658301929,0.8664393053,0.8670484177,0.8676575302,0.8682666426,0.8688757551,0.8694848675,0.87009398,0.8707030924,0.8713122048,0.8719213173
HSLColor,NOVELTY,0.9014084507,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366
HSLColor,NOVELTY,0.9014084507,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366
HSLColor,NOVELTY,0.9014084507,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366,0.8732394366
ChunkedLongArray,NOVELTY,0.935483871,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355
ChunkedLongArray,NOVELTY,0.9677419355,0.5483870968,0.5483870968,0.5483870968,0.5483870968,0.5483870968,0.5483870968,0.5554655126,0.5681736201,0.5808817276,0.5935898351,0.6062979426,0.61900605,0.6317141575,0.644422265,0.6571303725,0.66983848,0.6825465874,0.6952546949,0.7079628024,0.7206709099,0.7333790174,0.7460871248,0.7587952323,0.7715033398,0.7842114473,0.7969195547,0.8096276622,0.8223357697,0.8350438772,0.8477519847
ChunkedLongArray,NOVELTY,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065
ChunkedLongArray,NOVELTY,0.935483871,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065
ChunkedLongArray,NOVELTY,0.9677419355,0.1612903226,0.1612903226,0.1612903226,0.1612903226,0.1612903226,0.1612903226,0.1612903226,0.1612903226,0.1697577107,0.1941594055,0.2185611004,0.2429627952,0.2673644901,0.2917661849,0.3161678798,0.3405695746,0.3649712694,0.3893729643,0.4137746591,0.438176354,0.4625780488,0.4869797437,0.5113814385,0.5357831334,0.5601848282,0.584586523,0.6089882179,0.6333899127,0.6577916076,0.6821933024
ChunkedLongArray,NOVELTY,0.9677419355,0.2258064516,0.2258064516,0.2258064516,0.2258064516,0.2258064516,0.2258064516,0.2343544602,0.2569682394,0.2795820187,0.302195798,0.3248095772,0.3474233565,0.3700371358,0.392650915,0.4152646943,0.4378784736,0.4604922528,0.4831060321,0.5057198113,0.5283335906,0.5509473699,0.5735611491,0.5961749284,0.6187887077,0.6414024869,0.6640162662,0.6866300455,0.7092438247,0.731857604,0.7544713832
ChunkedLongArray,NOVELTY,0.935483871,0.2903225806,0.2903225806,0.2903225806,0.2903225806,0.2903225806,0.2903225806,0.2903225806,0.2903225806,0.2903225806,0.3042635451,0.322752888,0.3412422308,0.3597315737,0.3782209165,0.3967102593,0.4151996022,0.433688945,0.4521782879,0.4706676307,0.4891569735,0.5076463164,0.5261356592,0.5446250021,0.5631143449,0.5816036877,0.6000930306,0.6185823734,0.6370717163,0.6555610591,0.6740504019
ChunkedLongArray,NOVELTY,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355
ChunkedLongArray,NOVELTY,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065,0.9032258065
